"id","code","chapter_id","name"
101,"000101",1,"CABALLOS,  ASNOS,  MULOS Y BURDEGANOS,   VIVOS"
102,"000102",1,"ANIMALES VIVOS DE LA ESPECIE BOVINA"
103,"000103",1,"ANIMALES VIVOS DE LA ESPECIE PORCINA"
104,"000104",1,"ANIMALES VIVOS DE LAS ESPECIES OVINA O CAPRINA"
105,"000105",1,"GALLOS; GALLINAS; PATOS; GANSOS; PAVOS Y PINTADAS DE LAS ESPECIES DOMESTICAS"
106,"000106",1,"LOS DEMAS ANIMALES VIVOS"
201,"000201",2,"CARNE DE ANIMALES DE LA ESPECIE BOVINA; FRESCA O REFRIGERADA"
202,"000202",2,"CARNE DE ANIMALES DE LA ESPECIE BOVINA; CONGELADA"
203,"000203",2,"CARNE DE ANIMALES DE LA ESPECIE PORCINA; FRESCA; REFRIGERADA O CONGELADA"
204,"000204",2,"CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA; FRESCA; REFRIGERADA O CONGE"
205,"000205",2,"CARNE DE ANIMALES DE LAS ESPECIES CABALLAR; ASNAL O MULAR FRESCA; REFRIGERADA"
206,"000206",2,"DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA; PORCINA; OVINA; CAPRI"
207,"000207",2,"CARNE Y DESPOJOS COMESTIBLES DE AVES DE LA PARTIDA 0 1;0 5; FRESCOS; REFRIGERD"
208,"000208",2,"LAS DEMAS CARNES Y DESPOJOS COMESTIBLES; FRESCOS; REFRIGERADOS O CONGELADOS"
209,"000209",2,"TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE SIN FUNDIR NI EXTRAER DE OT"
210,"000210",2,"CARNE Y DESPOJOS COMESTIBLES; SALADOS O EN SALMUERA; SECOS O AHUMADOS;  HARIN"
301,"000301",3,"PECES O PESCADOS VIVOS"
302,"000302",3,"PESCADO FRESCO O REFRIGERADO; EXCEPTO LOS FILETES Y DEMAS CARNE DE PESCADO DE"
303,"000303",3,"PESCADO CONGELADO;  EXCEPTO LOS FILETES Y DEMAS CARNE DE PESCADO DE LA PARTID"
304,"000304",3,"FILETES Y DEMAS CARNE DE PESCADO (INCLUSO PICADA); FRESCOS;  REFRIGERADOS O CO"
305,"000305",3,"PESCADO SECO; SALADO O EN SALMUERA; PESCADO AHUMADO INCLUSO COCIDO ANTES O DUR"
306,"000306",3,"CRUSTACEOS; INCLUSO PELADOS; VIVOS; FRESCOS; REFRIGERADOS; CONGELADOS; SECOS;"
307,"000307",3,"MOLUSCOS; INCLUSO SEPARADOS DE SUS VALVAS; VIVOS; FRESCOS; REFRIGERADOS; CONGE"
401,"000401",4,"LECHE Y NATA (CREMA) SIN CONCENTRAR; SIN ADICION DE AZUCAR NI OTRO EDUCOLORANT"
402,"000402",4,"LECHE Y NATAS (CREMA) CONCENTRADAS O CON ADCION DE AZUCAR U OTRO EDULCORANTE"
403,"000403",4,"SUERO DE MANTEQUILLA (DE MANTECA);  LECHE Y NATA (CREMA) CUAJADAS; YOGUR; KEFI"
404,"000404",4,"LACTOSUERO INCLUSO CONCENTRADO O CON ADICION DE AZUCAR U OTRO EDULCORANTE;  PR"
405,"000405",4,"MANTEQUILLA (MANTECA) Y DEMAS MATERIAS GRASAS DE LA LECHE<:PASTAS LACTEAS PARA U"
406,"000406",4,"QUESOS Y REQUESON"
407,"000407",4,"HUEVOS DE AVES CON CASCARA(CASCARON) FRESCOS;  CONSERVADOS O COCIDOS"
408,"000408",4,"HUEVOS DE AVES SIN CASCARA (CASCARON) Y YEMAS DE HUEVOS FRESCOS; SECOS;  COCID"
409,"000409",4,"MIEL NATURAL"
410,"000410",4,"PRODUCTOS COMESTIBLES DE ORIGEN ANIMAL NO EXPRESADOS NI COMPRENDIDOS EN OTRA PAR"
501,"000501",5,"CABELLO EN BRUTO; ICLUSO LAVADO O DESGRASADO;  DESPERDICIOS DE CABELLO"
502,"000502",5,"CERDAS DE CERDO O DE JABALI; PELO DE TEJON Y DEMAS PELOS DE CEPILLERIA; DESPER"
503,"000503",5,"CRIN Y SUS DESPERDICIOS; INCLUOS EN CAPAS CON SOPORTE O SIN EL"
504,"000504",5,"TRIPAS; VEJIGAS Y ESTOMAGOS DE ANIMALES; EXCEPTO LOS DE PESCADO; ENTEROS O EN"
505,"000505",5,"PIELES Y DEMAS PARTES DE AVE CON PLUMAS O SU PLUMON; PLUMAS Y PARTES DE PLUMAS"
506,"000506",5,"HUESOS Y NUCLEOS CORNEOS ENBRUTO DESGRASADOS; SIMPLEMENTE PREPARADOS (PERO SI"
507,"000507",5,"MARFIL; CONCHA(CARAPAZON) DE TORTUGA; BALLENAS DE MAMIFEROS MARINOS (INCLUIDA"
508,"000508",5,"CORAL Y MATERIAS SIMILARES EN BRUTO O SIMPLEMENTE PREPARADAS; PERO SIN OTRO TR"
509,"000509",5,"ESPONJAS NATURALES DE ORIGEN ANIMAL"
510,"000510",5,"AMBAR GRIS; CASTOREO; ANGALIA Y ALMIZCLE; CANTARIDAS; BILIS; INCLUSO DESECADA"
511,"000511",5,"PRODUCTOS DE ORIGEN ANIMAL NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE;  ANIMA"
601,"000601",6,"BULBOS; CEBOLLAS; TUBERCULOS; RAICES Y BULBOS TUBEROSOS; TURIONES O RIZOMAS;"
602,"000602",6,"LAS DEMAS PLANTAS VIVAS(INCLUIDAS SUS RAICES) ESQUEJES E INJERTOS;  BLANCO DE"
603,"000603",6,"FLORES Y CAPULLOS; CORTADOS PARA RAMOS O ADORNOS; FRESCOS; SECOS; BLANQUEADOS"
604,"000604",6,"FOLLAJES; HAJAS; RAMAS Y DEMAS PARTES DE PLANTAS SIN FLORES NI CAPULLOS;  Y HI"
701,"000701",7,"PATATAS (PAPAS) FRESCAS O REFRIGERADAS"
702,"000702",7,"TOMATES FRESCOS O REFRIGERADOS"
703,"000703",7,"CEBOLLAS;  CHALOTES; AJOS; PUERROS Y DEMAS HORTALIZAS(INCLUSO SILVESTRES) ALIA"
704,"000704",7,"COLES INCLUIDOS LOS REPOLLOS; COLIFLORES; COLES RIZADAS; COLINABOS Y PRODUCTO"
705,"000705",7,"LECHUGA(LACTUCA SATIVA) Y ACHICORIAS; COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA FR"
706,"000706",7,"ZANAHORIAS; NABOS; REMOLACHAS PARA ENSALADAS; SALDIFIES; APIONABOS; RABANOS Y"
707,"000707",7,"PEPINOS Y PEPINILLOS FRESCOS O REFRIGERADOS"
708,"000708",7,"HORTALIZAS(INCLUSO SILVESTRES) DE VAINA;  AUNQUE ESTEN DESVAINADAS;  FRESCAS"
